epoch,loss
0,0.2496003359556198
1,0.23570096492767334
0,0.08011088861659278
1,0.04459748564370196
0,0.07017190707847476
1,0.07567046831051509
2,0.05684418526167671
3,0.055496212017411985
4,0.04800512238095204
5,0.046907786085891225
6,0.03594933438580483
7,0.03584557973469297
8,0.030257137104248006
9,0.026226749100411933
0,0.06881496294712026
1,0.06350514416893323
2,0.04992885134803752
3,0.13383599650114775
4,0.0361074764902393
5,0.026636972712973755
6,0.034182310298395656
7,0.021298799042900402
8,0.0167231522500515
9,0.013581079857734343
0,0.06902046749989192
0,0.043524333794662
1,0.022530748950489593
2,0.008975447592092678
3,0.005713157274800798
4,0.0038961808351577138
5,0.0031381263720306933
6,0.0026445935446131248
7,0.00223567219391175
8,0.0021211754751477756
9,0.0018220348777148224
0,0.0547143569337609
1,0.026770634472916794
2,0.011697851236997361
3,0.0064041097403800895
4,0.004299692912077855
5,0.0032112474217538493
6,0.0028105229101366485
7,0.0024565619292527276
8,0.002000115472174661
9,0.001803310574293879
0,0.04371576015398824
1,0.026940957704673696
2,0.011206539456169054
3,0.006585975179273257
4,0.004106166717921978
5,0.003302687059065489
6,0.0028713315609754804
7,0.00239404783022347
8,0.002398906541993315
9,0.0020867475351500934
0,0.00232968819677742
1,0.002087999781656106
0,0.0353300810025573
1,0.011044181046705437
0,0.04109395791795881
1,0.012911571367294528
0,0.04366412152539588
1,0.04088118043559455
0,0.017264891453690496
1,0.011145704999933883
0,0.0059601043041397316
1,0.0054486516143526014
2,0.004874436785083136
3,0.004130377478693423
4,0.0035018111304742743
5,0.003273683233113632
6,0.00289636915619232
7,0.0024619678412779213
8,0.0022560403850165776
9,0.002109777215346053
0,0.02275704491467627
1,0.028716351531540462
2,0.017800500400894172
3,0.009456806481255731
4,0.00581480601449848
5,0.004951712887133539
6,0.0041274596530812505
7,0.0033941759307787793
8,0.003069162826737949
9,0.00284424031238102
0,nan
1,nan
2,nan
3,nan
4,nan
5,nan
6,nan
7,nan
8,nan
9,nan
0,0.02086995569234073
1,0.030149724241683558
2,0.017997211002258828
3,0.011929636659181637
4,0.005845111510058379
5,0.004477215387126215
6,0.0035328333514094675
7,0.0031149529851340367
8,0.0028755161773111413
9,0.0025917276627982233
0,0.01777909452199389
1,0.013513723929476775
2,0.006835867533126198
3,0.006747637300050237
4,0.0051575641148214136
5,0.004169717139608321
6,0.003924542110273277
7,0.0033568171605019006
8,0.003130886516874602
9,0.003076699937240767
0,0.01902977739276442
1,0.013280299690002035
2,0.007988689242916154
3,0.006553711970954664
4,0.005393182443989697
5,0.004162390630222364
6,0.003751999969160576
7,0.0032831207614778405
8,0.0030193135688128623
9,0.002847668941325063
0,0.025914098282949303
1,0.01994986827016127
2,0.01428632342270506
3,0.011806962143720142
4,0.010197796587790572
5,0.00542613861251817
6,0.005836219045528169
7,0.004669173159758185
8,0.003734864980423712
9,0.008344234607648104
0,0.03519954070305595
1,0.017689136943239828
2,0.011780616013262938
3,0.011554866677877553
4,0.00719005125480051
5,0.011531153290991303
6,0.004486305915634148
7,0.0038426331339642327
8,0.003394213894116224
9,0.002781492997776819
0,0.0213926342857062
1,0.016633626562422666
2,0.005988125155470472
3,0.008179402817953405
4,0.005513653520743718
5,0.005858394069343629
6,0.008320756046912224
7,0.0031439027692688653
8,0.0029394934451143456
9,0.0028359542209717044
